county,state,max_cases,avg_growth_rate,max_growth_rate,total_population,num_deaths,percent_smokers,percent_vaccinated,income_ratio,population_density_per_sqmi,percent_fair_or_poor_health,percent_unemployed_CHR,violent_crime_rate,chlamydia_rate,teen_birth_rate,total_cases,deaths_per_100k,cases_per_100k
Abbeville,South Carolina,1002,0.022957698745321397,0.6666666666666666,24951,430,17.323519011,29,5.2192066806,50.8703433023399,19.895035607,3.9769337841,341.19308921,647.2,2848.2111843999996,4015.871107370446,1723.3778205282354,4015.871107370446
Acadia,Louisiana,4197,0.026859159552096418,0.717948717948718,62372,1027,21.534088073,48,5.804626938,95.205635723508,20.890035316,5.373246493,443.40685619,576.8,4733.8955425,6728.9809529917275,1646.57217982428,6728.9809529917275
Accomack,Virginia,1367,0.023880381373404532,0.5,33060,600,18.31692932,44,4.1604755562,73.579903627469207,20.08919894,3.8121942489,225.86798932,648.3,3104.8316763,4134.9062310949785,1814.8820326678765,4134.9062310949785
Ada,Idaho,27461,0.03358267506399383,0.6363636363636364,425798,3940,11.990700664,48,4.4780318989,404.551457631519,11.474881999,2.4598711788,230.63350167,448.7,1308.3547363999999,6449.302251302261,925.3213965307493,6449.302251302261
Adair,Iowa,1294,-2.7801821797975337,0.9879518072289156,18467.60353287537,286.85475956820414,21.558871129857703,45.52894995093229,5.0506688359475955,35.668449336076,21.58777736484102,3.757364476053582,212.10260551590187,392.84013738959766,2761.6323224217863,7006.8647385486,1553.2863214090312,7006.8647385486
Adams,Colorado,31594,-5.740823066603126,0.9988620199146515,99964.3857350801,1140.8010674429881,17.434960237670065,44.76758854924795,4.506176500135954,114.79118869850575,18.689796672395925,4.5836025728936445,240.45807979488353,434.3257156720039,3272.239240809607,31605.255979593185,1141.2075001053615,31605.255979593185
Addison,Vermont,195,0.016517362976902084,0.6666666666666666,36926,335,13.030216513,55,3.8116814393,48.1856543208545,9.683870326,2.5695313252,78.63340564,225.7,836.3970588200001,528.0831934138547,907.2198450955966,528.0831934138547
Aiken,South Carolina,6665,0.03056009295714356,0.5,165146,2756,14.915906763,51,4.6507219792,154.185082842977,17.706604007,3.3457751812,453.0783204,542.3,3043.1421946,4035.822847662069,1668.8263718164533,4035.822847662069
Aitkin,Minnesota,810,0.026387079490849227,0.5,15722,278,15.171758613,30,4.0741713631,8.63023961516231,14.234821762,5.6129572745,112.06813743,145.3,1437.4514375,5152.01628291566,1768.2228724080906,5152.01628291566
Alachua,Florida,13190,0.03202138340552205,0.5,256581,2811,16.380852086,46,6.0569899977,293.21754757822,17.61444956,3.271466954,560.54092488,820.8,1291.3734689,5140.676823303363,1095.5604662855005,5140.676823303363
